:START_ID,:END_ID,:TYPE
Tencent,"Shenzen,Non-U.S.",HQ_LOCATION
DocuSign,SF Bay Area,HQ_LOCATION
Pico Interactive,SF Bay Area,HQ_LOCATION
The RealReal,SF Bay Area,HQ_LOCATION
Smartsheet,Seattle,HQ_LOCATION
Wix,"Tel Aviv,Non-U.S.",HQ_LOCATION
ServiceTitan,Los Angeles,HQ_LOCATION
Neon,"Sao Paulo,Non-U.S.",HQ_LOCATION
Jellysmack,"Paris,Non-U.S.",HQ_LOCATION
DigitalOcean,New York City,HQ_LOCATION
Sprinklr,New York City,HQ_LOCATION
Betterment,New York City,HQ_LOCATION
CommerceHub,Albany,HQ_LOCATION
Twilio,SF Bay Area,HQ_LOCATION
Electric,New York City,HQ_LOCATION
PetLove,"Sao Paulo,Non-U.S.",HQ_LOCATION
iRobot,Boston,HQ_LOCATION
Collective Health,SF Bay Area,HQ_LOCATION
Magic Eden,SF Bay Area,HQ_LOCATION
Moladin,"Jakarta,Non-U.S.",HQ_LOCATION
TripleLift,New York City,HQ_LOCATION
TikTok India,"Mumbai,Non-U.S.",HQ_LOCATION
Yahoo,SF Bay Area,HQ_LOCATION
Misfits Market,Philadelphia,HQ_LOCATION
Deliveroo,"London,Non-U.S.",HQ_LOCATION
Olive AI,Columbus,HQ_LOCATION
GitLab,SF Bay Area,HQ_LOCATION
Bark,New York City,HQ_LOCATION
Nomad Health,New York City,HQ_LOCATION
Veriff,"Tallinn,Non-U.S.",HQ_LOCATION
REE Automotive,"Tel Aviv,Non-U.S.",HQ_LOCATION
GoDaddy,Phoenix,HQ_LOCATION
Affirm,SF Bay Area,HQ_LOCATION
Gusto,SF Bay Area,HQ_LOCATION
Gong,SF Bay Area,HQ_LOCATION
Beam Benefits,Columbus,HQ_LOCATION
Equitybee,SF Bay Area,HQ_LOCATION
Zoom,SF Bay Area,HQ_LOCATION
eBay,SF Bay Area,HQ_LOCATION
SecureWorks,Atlanta,HQ_LOCATION
Salesloft,Atlanta,HQ_LOCATION
Openpay,"Melbourne,Non-U.S.",HQ_LOCATION
LearnUpon,"Dublin,Non-U.S.",HQ_LOCATION
Dell,Austin,HQ_LOCATION
Loggi,"Sao Paulo,Non-U.S.",HQ_LOCATION
Catch.com.au,"Melbourne,Non-U.S.",HQ_LOCATION
VinFast US,Los Angeles,HQ_LOCATION
Drift,Boston,HQ_LOCATION
Pocket Aces,"Mumbai,Non-U.S.",HQ_LOCATION
Clari,SF Bay Area,HQ_LOCATION
Kyruus,Boston,HQ_LOCATION
Lightico,"Tel Aviv,Non-U.S.",HQ_LOCATION
FarEye,"New Delhi,Non-U.S.",HQ_LOCATION
Protocol Labs,SF Bay Area,HQ_LOCATION
Byju's,"Bengaluru,Non-U.S.",HQ_LOCATION
Okta,SF Bay Area,HQ_LOCATION
Autodesk,SF Bay Area,HQ_LOCATION
Mindstrong,SF Bay Area,HQ_LOCATION
NCC Group,"Manchester,Non-U.S.",HQ_LOCATION
Miro,SF Bay Area,HQ_LOCATION
Getir,New York City,HQ_LOCATION
Highspot,Seattle,HQ_LOCATION
Bittrex,Seattle,HQ_LOCATION
Snowplow,"London,Non-U.S.",HQ_LOCATION
Articulate,New York City,HQ_LOCATION
Splunk,SF Bay Area,HQ_LOCATION
Pinterest,SF Bay Area,HQ_LOCATION
DraftKings,Boston,HQ_LOCATION
Cyren,Washington D.C.,HQ_LOCATION
Workato,SF Bay Area,HQ_LOCATION
VerticalScope,"Toronto,Non-U.S.",HQ_LOCATION
Wheel,Austin,HQ_LOCATION
Chainalysis,New York City,HQ_LOCATION
Exterro,Portland,HQ_LOCATION
TheSkimm,New York City,HQ_LOCATION
PayPal,SF Bay Area,HQ_LOCATION
NetApp,SF Bay Area,HQ_LOCATION
Workday,SF Bay Area,HQ_LOCATION
HubSpot,Boston,HQ_LOCATION
Upstart,SF Bay Area,HQ_LOCATION
Software AG,"Frankfurt,Non-U.S.",HQ_LOCATION
Wish,SF Bay Area,HQ_LOCATION
Wefox,"Berlin,Non-U.S.",HQ_LOCATION
Tilting Point,New York City,HQ_LOCATION
Gokada,"Lagos,Non-U.S.",HQ_LOCATION
AU10TIX,"Tel Aviv,Non-U.S.",HQ_LOCATION
Philips,"Amsterdam,Non-U.S.",HQ_LOCATION
OLX Group,"Amsterdam,Non-U.S.",HQ_LOCATION
Arrival,"London,Non-U.S.",HQ_LOCATION
Groupon,Chicago,HQ_LOCATION
Intel,SF Bay Area,HQ_LOCATION
Glovo,"Barcelona,Non-U.S.",HQ_LOCATION
Delivery Hero,"Berlin,Non-U.S.",HQ_LOCATION
Impossible Foods copy,SF Bay Area,HQ_LOCATION
Chrono24,"Karlsruhe,Non-U.S.",HQ_LOCATION
Me Poupe,"Sao Paulo,Non-U.S.",HQ_LOCATION
CoinTracker,SF Bay Area,HQ_LOCATION
SSense,"Montreal,Non-U.S.",HQ_LOCATION
DealShare,"Bengaluru,Non-U.S.",HQ_LOCATION
Ruggable,Los Angeles,HQ_LOCATION
Synopsys,SF Bay Area,HQ_LOCATION
Heycar,"Berlin,Non-U.S.",HQ_LOCATION
Matrixport,"Singapore,Non-U.S.",HQ_LOCATION
Shakepay,"Montreal,Non-U.S.",HQ_LOCATION
#Paid,"Toronto,Non-U.S.",HQ_LOCATION
SAP,"Walldorf,Non-U.S.",HQ_LOCATION
Confluent,SF Bay Area,HQ_LOCATION
IBM,New York City,HQ_LOCATION
Lam Research,SF Bay Area,HQ_LOCATION
Shutterfly,SF Bay Area,HQ_LOCATION
Luno,"London,Non-U.S.",HQ_LOCATION
Clear Capital,Reno,HQ_LOCATION
Guardant Health,SF Bay Area,HQ_LOCATION
SirionLabs,Seattle,HQ_LOCATION
Tier Mobility,"Berlin,Non-U.S.",HQ_LOCATION
Vacasa,Portland,HQ_LOCATION
Innovaccer,SF Bay Area,HQ_LOCATION
Bolt,SF Bay Area,HQ_LOCATION
PartnerStack,"Toronto,Non-U.S.",HQ_LOCATION
Gitpod,"Kiel,Non-U.S.",HQ_LOCATION
OFFOR Health,Columbus,HQ_LOCATION
Venngage,"Toronto,Non-U.S.",HQ_LOCATION
Spotify,"Stockholm,Non-U.S.",HQ_LOCATION
Uber Freight,SF Bay Area,HQ_LOCATION
Inmobi,"Bengaluru,Non-U.S.",HQ_LOCATION
Innovid,New York City,HQ_LOCATION
Booktopia,"Sydney,Non-U.S.",HQ_LOCATION
Ermetic,SF Bay Area,HQ_LOCATION
Namogoo,"Tel Aviv,Non-U.S.",HQ_LOCATION
Google,SF Bay Area,HQ_LOCATION
Wayfair,Boston,HQ_LOCATION
Swiggy,"Bengaluru,Non-U.S.",HQ_LOCATION
MediBuddy,"Bengaluru,Non-U.S.",HQ_LOCATION
Vox Media,Washington D.C.,HQ_LOCATION
BitTorrent,SF Bay Area,HQ_LOCATION
Karat,Seattle,HQ_LOCATION
Enjoei,"Sao Paulo,Non-U.S.",HQ_LOCATION
